author_name,title_counts
England and Wales. Parliament. House of Lords.?,22
England and Wales. Parliament.?,697
England and Wales. Parliament.?,232
England and Wales. Parliament.?,85
England and Wales. Parliament.?,24
England and Wales. Parliament.?,10
England and Wales. Parliament.?,36
England and Wales. Parliament.?,35
England and Wales. Privy Council.?,10
England and Wales. Privy Council.?,14
England and Wales. Privy Council.?,29
England and Wales. Privy Council.?,17
England and Wales. Sovereign (1485-1509 : Henry VII).?,2
England and Wales. Sovereign (1509-1547 : Henry VIII)?,1
England and Wales. Sovereign (1509-1547 : Henry VIII)?,4
England and Wales. Sovereign (1509-1547 : Henry VIII)?,1
England and Wales. Sovereign (1509-1547 : Henry VIII)?,49
England and Wales. Sovereign (1547-1553 : Edward VI)?,52
England and Wales. Sovereign (1553-1558 : Mary I)?,44
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,33
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,168
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,100
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,55
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,73
England and Wales. Sovereign (1603-1625 : James I)?,185
England and Wales. Sovereign (1603-1625 : James I)?,285
England and Wales. Sovereign (1625-1649 : Charles I)?,54
England and Wales. Sovereign (1625-1649 : Charles I)?,274
England and Wales. Sovereign (1625-1649 : Charles I)?,629
England and Wales. Sovereign (1625-1649 : Charles I)?,60
England and Wales. Sovereign (1660-1685 : Charles II)?,170
England and Wales. Sovereign (1660-1685 : Charles II)?,239
England and Wales. Sovereign (1660-1685 : Charles II)?,190
England and Wales. Sovereign (1660-1685 : Charles II)?,84
England and Wales. Sovereign (1685-1688 : James II)?,87
England and Wales. Sovereign (1685-1688 : James II)?,75
England and Wales. Sovereign (1689-1694 : William and Mary)?,115
England and Wales. Sovereign (1689-1694 : William and Mary)?,66
England and Wales. Sovereign (1694-1702 : William III)?,52
England and Wales. Sovereign (1694-1702 : William III)?,30
England and Wales.?,1
England and Wales.?,5
England and Wales.?,6
England and Wales.?,149
England and Wales.?,109
England and Wales.?,32
England and Wales.?,52
England and Wales.?,20
England and Wales.?,13
England and Wales.?,202
England and Wales.?,111
England and Wales.?,86
England and Wales.?,45
England and Wales.?,33
England and Wales.?,22
England and Wales.?,13
England and Wales.?,23
England and Wales.?,18
England. King's Household.?,1
England. Sovereign (1485-1509 : Henry VII)?,1
England. Sovereign (1485-1509 : Henry VII)?,1
England. Sovereign (1509-1547 : Henry VIII)?,2
England. Sovereign (1509-1547 : Henry VIII)?,3
England. Sovereign (1509-1547 : Henry VIII)?,11
England.?,5
England.?,7
England.?,6
England.?,83
England.?,18
"Erasmus, Desiderius, d. 1536.?",4
"Erasmus, Desiderius, d. 1536.?",79
"Erasmus, Desiderius, d. 1536.?",6
Erra Pater.?,6
"Essex, Robert Devereux, Earl of, 1591-1646.?",21
"Evans, Arise, b. 1607.?",10
"Evelyn, John, 1620-1706.?",11
"Evelyn, John, 1620-1706.?",12
"Fabyan, Robert, d. 1513.?",1
"Fabyan, Robert, d. 1513.?",8
"Fairfax, Ferdinando Fairfax, Baron, 1584-1648.?",13
"Fairfax, Thomas Fairfax, Baron, 1612-1671.?",24
"Falkland, Lucius Cary, Viscount, 1610?-1643.?",10
"Featley, Daniel, 1582-1645.?",12
"Fenner, Dudley, 1558?-1587.?",16
"Fenner, William, 1600-1640.?",24
"Fenner, William, 1600-1640.?",13
"Ferguson, Robert, d. 1714.?",19
"Feylde, Thomas.?",1
"Fiennes, Nathaniel, 1607 or 8-1669.?",12
"Filmer, Robert, Sir, d. 1653.?",10
"Fisher, Edward, fl. 1627-1655.?",13
"Fisher, John, Saint, 1469-1535.?",8
"Fisher, John, Saint, 1469-1535.?",7
"Fisher, John, Saint, 1469-1535.?",6
"Fitzherbert, Anthony, Sir, 1470-1538.?",17
"Fitzherbert, Anthony, Sir, 1470-1538.?",11
"Fitzherbert, John, d. 1531.?",3
"Fitzherbert, John, d. 1531.?",20
"Fitzjames, Richard, d. 1522.?",1
"Flavel, John, 1630?-1691.?",11
"Flavel, John, 1630?-1691.?",11
"Flavel, John, 1630?-1691.?",11
"Flecknoe, Richard, d. 1678??",16
"Fowler, Edward, 1632-1714.?",11
"Fox, George, 1624-1691.?",15
"Fox, George, 1624-1691.?",84
"Fox, George, 1624-1691.?",33
"Fox, George, 1624-1691.?",59
"Fox, George, 1624-1691.?",43
"Fox, George, 1624-1691.?",17
"Fox, George, d. 1661.?",29
"Fox, Margaret Askew Fell, 1614-1702.?",13
"Fox, Margaret Askew Fell, 1614-1702.?",11
"Foxe, John, 1516-1587.?",16
France. Sovereign (1574-1589 : Henry III)?,7
France. Sovereign (1589-1610 : Henry IV)?,7
"Franciscan Convent (Ipswich, England)?",1
"Fraunce, Abraham, fl. 1587-1633.?",8
"Frith, John, 1503-1533.?",14
"Froissart, Jean, 1338?-1410??",5
"Fulke, William, 1538-1589.?",24
"Fulke, William, 1538-1589.?",6
"Fuller, Thomas, 1608-1661.?",14
"Fuller, Thomas, 1608-1661.?",32
"Fuller, Thomas, 1608-1661.?",18
"Gadbury, John, 1627-1704.?",12
"Gadbury, John, 1627-1704.?",21
"Gadbury, John, 1627-1704.?",17
"Gadbury, John, 1627-1704.?",10
"Gainsford, Thomas, d. 1624??",10
"Gale, Theophilus, 1628-1678.?",12
"Gardiner, Samuel, b. 1563 or 4.?",10
"Gardiner, Stephen, 1483?-1555.?",14
"Gascoigne, George, 1542?-1577.?",11
"Gataker, Thomas, 1574-1654.?",23
"Gataker, Thomas, 1574-1654.?",15
"Gauden, John, 1605-1662.?",28
"Gauden, John, 1605-1662.?",20
"Gee, Edward, 1657-1730.?",12
"Gerhard, Johann, 1582-1637.?",11
"Geveren, Sheltco Ö.?",6
"Gibbon, Charles, fl. 1589-1604.?",6
"Gifford, George, 1547 or 8-1600.?",24
"Gifford, George, 1547 or 8-1600.?",13
"Gilby, Anthony, ca. 1510-1585.?",5
"Gilden, G., fl. 1615-1632.?",10
"Gildon, Charles, 1665-1724.?",11
"Giles, of Rome, Archbishop of Bourges, ca. 1243-1316.?",1
"Glanvill, Joseph, 1636-1680.?",20
"Glanvill, Joseph, 1636-1680.?",10
"Goeurot, Jean.?",6
"Goodman, John, 1625 or 6-1690.?",15
"Goodwin, Christopher.?",1
"Goodwin, John, 1594?-1665.?",24
"Goodwin, John, 1594?-1665.?",11
"Goodwin, Thomas, 1600-1680.?",16
"Goodwin, Thomas, 1600-1680.?",23
"Goodwin, Thomas, 1600-1680.?",21
"Gother, John, d. 1704.?",18
"Gother, John, d. 1704.?",17
"Gother, John, d. 1704.?",11
"Gouge, Thomas, 1605-1681.?",13
"Gouge, Thomas, 1605-1681.?",15
"Gouge, William, 1578-1653.?",15
"Gower, John, 1325?-1408.?",1
"Grafton, Richard, d. 1572??",14
"Granger, Thomas, b. 1578.?",11
"Grantham, Thomas, 1634-1692.?",10
"Gray, Andrew, 1633-1656.?",12
"Greene, Robert, 1558?-1592.?",50
"Greene, Robert, 1558?-1592.?",24
"Greene, Robert, 1558?-1592.?",16
"Greene, Robert, 1558?-1592.?",14
"Greenham, Richard.?",15
"Grimston, Harbottle, Sir, 1603-1685.?",11
"Gringore, Pierre, ca. 1475-1538??",7
"Grotius, Hugo, 1583-1645.?",10
"Guevara, Antonio de, Bp., d. 1545??",14
"Guevara, Antonio de, Bp., d. 1545??",10
"Guido, of Alet.?",1
"Guild of Our Lady of Scala Coeli (Boston, Lincolnshire, England)?",1
"Guillaume, de Deguileville, 14th cent.?",2
H. R. fl. 1585-1616.?,7
"Haines, Richard, 1633-1685.?",13
"Hale, Matthew, Sir, 1609-1676.?",13
"Hale, Matthew, Sir, 1609-1676.?",15
"Halifax, George Savile, Marquis of, 1633-1695.?",25
"Hall, Joseph, 1574-1656.?",54
"Hall, Joseph, 1574-1656.?",34
"Hall, Joseph, 1574-1656.?",39
"Hall, Joseph, 1574-1656.?",20
"Hall, Joseph, 1574-1656.?",28
"Hall, Joseph, 1574-1656.?",12
"Hammond, Henry, 1605-1660.?",54
"Hammond, Henry, 1605-1660.?",22
"Hammond, Henry, 1605-1660.?",10
"Harding, Thomas, 1516-1572.?",7
"Hardy, Nathaniel, 1618-1670.?",11
"Hardy, Nathaniel, 1618-1670.?",22
"Harington, John, Sir, 1560-1612.?",11
"Harrington, William, d. 1523.?",2
"Harris, Robert, 1581-1658.?",15
"Harris, Robert, 1581-1658.?",30
"Hart, John, D.D.?",24
"Hartlib, Samuel, d. 1662.?",14
"Harvey, Richard, 1560-1623??",9
"Hawes, Stephen, d. 1523??",8
"Hawes, Stephen, d. 1523??",6
"Hayton, Fräre, ca. 1235-ca. 1314.?",1
"Hayward, John, Sir, 1564?-1627.?",15
"Hayward, John, Sir, 1564?-1627.?",11
"Head, Richard, 1637?-1686??",15
"Heath, James, 1629-1664.?",13
"Hemmingsen, Niels, 1513-1600.?",12
