author,birthdate,deathdate,count
"Wheatley, Phillis",1753,1784,1
"Fox, John, Jr.",1862,1919,1
"Davis, Richard Harding",1864,1916,1
"Hubbard, Elbert",1856,1915,1
"Stevenson, Robert Louis",1850,1894,1
"Jefferies, Richard",1848,1887,1
"Borrow, George",1803,1881,1
"Anderson, Sherwood",1876,1941,1
"Luther, Martin",1483,1546,1
"Luther, Martin",1483,1546,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Stevenson, Robert Louis",1850,1894,1
"Borrow, George",1803,1881,1
"Doyle, Arthur Conan",1859,1930,1
"Lindsay, Vachel",1879,1931,1
"Stevenson, Robert Louis",1850,1894,1
"Stevenson, Robert Louis",1850,1894,1
"Stockton, Frank Richard",1834,1902,1
"Hope, Anthony",1863,1933,1
"Stockton, Frank Richard",1834,1902,1
"Phillips, David Graham",1867,1911,1
"Phillips, David Graham",1867,1911,1
"James, Henry",1843,1916,1
"Phillips, David Graham",1867,1911,1
"Rinehart, Mary Roberts",1876,1958,1
"Houdini, Harry",1874,1926,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
Anonymous,no_birthdate,no_deathdate,1
"Stevenson, Robert Louis",1850,1894,1
"Doyle, Arthur Conan",1859,1930,1
"Porter, Eleanor H. (Eleanor Hodgman)",1868,1920,1
"Stevenson, Robert Louis",1850,1894,1
"Teasdale, Sara",1884,1933,1
"Field, Eugene",1850,1895,1
"Proudhon, P.-J. (Pierre-Joseph)",1809,1865,1
"Le Bon, Gustave",1841,1931,1
"Irving, H. B. (Henry Brodribb)",1870,1919,1
"Crane, Stephen",1871,1900,1
"Le Bon, Gustave",1841,1931,1
"Healy, Mary Tenney",no_birthdate,no_deathdate,1
"Healy, William",1869,1963,1
"Phillips, David Graham",1867,1911,1
"Conrad, Joseph",1857,1924,1
"Borrow, George",1803,1881,1
"Ferber, Edna",1885,1968,1
"Leland, Charles Godfrey",1824,1903,1
"Parlette, Ralph Albert",1870,1930,1
"Wells, H. G. (Herbert George)",1866,1946,1
"Phillips, David Graham",1867,1911,1
"Marquis, Don",1878,1937,1
"Burnett, Frances Hodgson",1849,1924,1
"Burnett, Frances Hodgson",1849,1924,1
"Le Gallienne, Richard",1866,1947,1
"Alger, Horatio, Jr.",1832,1899,1
"Crane, Stephen",1871,1900,1
"Stevenson, Robert Louis",1850,1894,1
"White, Stewart Edward",1873,1946,1
"Steinmetz, Andrew",1816,1877,1
"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)",1634,1693,1
"Prévost, abbé",1697,1763,1
"Balzac, Honoré de",1799,1850,1
"Chesterton, G. K. (Gilbert Keith)",1874,1936,1
"Scott, Walter",1771,1832,1
"Chesnutt, Charles W. (Charles Waddell)",1858,1932,1
"Bryant, Sara Cone",1873,no_deathdate,1
"Bryant, Sara Cone",1873,no_deathdate,1
"Booth, William",1829,1912,1
"Nasmyth, James",1808,1890,1
"Ferri, Enrico",1856,1929,1
"Phillips, David Graham",1867,1911,1
"Burnett, Frances Hodgson",1849,1924,1
"Hutsko, Joe",1963,no_deathdate,1
"Michelson, Miriam",1870,1942,1
"Hardy, Thomas",1840,1928,1
"Tarkington, Booth",1869,1946,1
"Optic, Oliver",1822,1897,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Stevenson, Robert Louis",1850,1894,1
"MacClure, Victor",1887,1963,1
"Ferber, Edna",1885,1968,1
Calamity Jane,1856,1903,1
"Atherton, Gertrude Franklin Horn",1857,1948,1
"Stevenson, Robert Louis",1850,1894,1
"Conrad, Joseph",1857,1924,1
"Conrad, Joseph",1857,1924,1
"Conrad, Joseph",1857,1924,1
"Craik, Dinah Maria Mulock",1826,1887,1
"Coke, Henry J. (Henry John)",1827,1916,1
"Wiggin, Kate Douglas Smith",1856,1923,1
"Appleton, Victor",no_birthdate,no_deathdate,1
"Collodi, Carlo",1826,1890,1
"Lofting, Hugh",1886,1947,1
"Grey, Zane",1872,1939,1
"Lang, Andrew",1844,1912,1
"Sousa, John Philip",1854,1932,1
"White, Andrew Dickson",1832,1918,1
"Burnett, Frances Hodgson",1849,1924,1
"Eliot, George",1819,1880,1
"Hawthorne, Nathaniel",1804,1864,1
"Le Fanu, Joseph Sheridan",1814,1873,1
"Le Fanu, Joseph Sheridan",1814,1873,1
"Le Fanu, Joseph Sheridan",1814,1873,1
"Hawthorne, Nathaniel",1804,1864,1
"Hawthorne, Nathaniel",1804,1864,1
"Alcott, Louisa May",1832,1888,1
"Davis, Rebecca Harding",1831,1910,1
"Stevenson, Robert Louis",1850,1894,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Defoe, Daniel",no_birthdate,1731,1
"Headland, Isaac Taylor",1859,1942,1
"Headland, Isaac Taylor",1859,1942,1
"Wells, H. G. (Herbert George)",1866,1946,1
"Conrad, Joseph",1857,1924,1
"Conrad, Joseph",1857,1924,1
"Conrad, Joseph",1857,1924,1
"Alger, Horatio, Jr.",1832,1899,1
"Steedman, Amy",no_birthdate,no_deathdate,1
"Alger, Horatio, Jr.",1832,1899,1
"Steinmetz, Andrew",1816,1877,1
"Stratton-Porter, Gene",1863,1924,1
"Stratton-Porter, Gene",1863,1924,1
"Stevenson, Robert Louis",1850,1894,1
"Stevenson, Robert Louis",1850,1894,1
"Stevenson, Robert Louis",1850,1894,1
"Doyle, Arthur Conan",1859,1930,1
"Bower, B. M.",1871,1940,1
"Tuckwell, William",1829,1919,1
"Wharton, Edith",1862,1937,1
"Johnson, Clarence Edgar",1906,1994,1
"Lewis, Sinclair",1885,1951,1
"Montgomery, L. M. (Lucy Maud)",1874,1942,1
"Burroughs, Edgar Rice",1875,1950,1
"Stout, Rex",1886,1975,1
"Gaboriau, Emile",1832,1873,1
"Rohrer, Steve",no_birthdate,no_deathdate,1
"Maag, Carl R.",no_birthdate,no_deathdate,1
"Azuela, Mariano",1873,1952,1
"Eliot, George",1819,1880,1
"Burroughs, Edgar Rice",1875,1950,1
"Burroughs, Edgar Rice",1875,1950,1
"Burroughs, Edgar Rice",1875,1950,1
"Tyler, Royall",1757,1826,1
Saki,1870,1916,1
"Kipling, Rudyard",1865,1936,1
"Kipling, Rudyard",1865,1936,1
"Buchan, John",1875,1940,1
"Buchan, John",1875,1940,1
"Buchan, John",1875,1940,1
"Defoe, Daniel",no_birthdate,1731,1
"Kay, Ross",no_birthdate,no_deathdate,1
"Kennon, J. L.",no_birthdate,no_deathdate,1
"Dickens, Charles",1812,1870,1
"Borrow, George",1803,1881,1
"Schiller, Friedrich",1759,1805,1
"Brann, William Cowper",1855,1898,1
"Brann, William Cowper",1855,1898,1
"Brann, William Cowper",1855,1898,1
"Fries, Adelaide L. (Adelaide Lisetta)",1871,1949,1
United States. Central Intelligence Agency,no_birthdate,no_deathdate,1
"Potter, Beatrix",1866,1943,1
"Lamb, Mary",1764,1847,1
"Lamb, Charles",1775,1834,1
"Blake, William",1757,1827,1
"Bacon, Francis",1561,1626,1
Project Gutenberg,no_birthdate,no_deathdate,1
"Johnson, Samuel",1709,1784,1
"Nakashima, Tadashi",1920,no_deathdate,1
"Lanier, Sidney",1842,1881,1
"Dickens, Charles",1812,1870,1
"Jenkins, Edward",1838,1910,1
"Potter, Beatrix",1866,1943,1
"Collins, Wilkie",1824,1889,1
"Wilson, Harriet E.",1825,1900,1
"Craft, Ellen",1826,1891,1
"Craft, William",no_birthdate,1900,1
"Browne, Thomas, Sir",1605,1682,1
"Marquis, Don",1878,1937,1
"Dickens, Charles",1812,1870,1
"Stevenson, Robert Louis",1850,1894,1
"Japp, Alexander H. (Alexander Hay)",1839,1905,1
"Teasdale, Sara",1884,1933,1
"Lindsay, Vachel",1879,1931,1
"Maupassant, Guy de",1850,1893,1
"Aldrich, Thomas Bailey",1836,1907,1
"Teasdale, Sara",1884,1933,1
Unknown,no_birthdate,no_deathdate,1
Snorri Sturluson,no_birthdate,1241,1
"Thackeray, William Makepeace",1811,1863,1
"Dostoyevsky, Fyodor",1821,1881,1
"Lewis, M. G. (Matthew Gregory)",1775,1818,1
Lucan,39,65,1
"Borrow, George",1803,1881,1
"Arnold, Edwin Lester Linden",1857,1935,1
"Burroughs, Edgar Rice",1875,1950,1
"Linderman, Frank Bird",1869,1938,1
"Melanchthon, Philipp",1497,1560,1
"Milton, John",1608,1674,1
"Wu, Tingfang",1842,1922,1
"Tennyson, Alfred Tennyson, Baron",1809,1892,1
"Buchan, John",1875,1940,1
Japan,no_birthdate,no_deathdate,1
Japan,no_birthdate,no_deathdate,1
"Stevenson, Robert Louis",1850,1894,1
"Ariosto, Lodovico",1474,1533,1
"Stevenson, Robert Louis",1850,1894,1
"Seeger, Alan",1888,1916,1
Unknown,no_birthdate,no_deathdate,1
"Trollope, Anthony",1815,1882,1
"Carroll, Lewis",1832,1898,1
"James, William",1842,1910,1
"Stevenson, Robert Louis",1850,1894,1
"Swift, Jonathan",1667,1745,1
"Bellamy, Edward",1850,1898,1
"Aldrich, Thomas Bailey",1836,1907,1
"Bury, Richard de",1287,1345,1
"Stevenson, Robert Louis",1850,1894,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Mackay, Charles",1814,1889,1
"Stevenson, Robert Louis",1850,1894,1
"Conrad, Joseph",1857,1924,1
"Gamble, Eliza Burt",1841,1920,1
"Lang, Andrew",1844,1912,1
"Lang, Andrew",1844,1912,1
"James, Henry",1843,1916,1
"James, Henry",1843,1916,1
"Dickens, Charles",1812,1870,1
"James, Henry",1843,1916,1
"Ballantyne, R. M. (Robert Michael)",1825,1894,1
"Stevenson, Robert Louis",1850,1894,1
"Stevenson, Fanny Van de Grift",1840,1914,1
"Borrow, George",1803,1881,1
"Dickens, Charles",1812,1870,1
"Carroll, Lewis",1832,1898,1
"Johnson, Samuel",1709,1784,1
"Dickens, Charles",1812,1870,1
"Bunyan, John",1628,1688,1
"Orr, Sutherland, Mrs.",1828,1903,1
"Browning, Robert",1812,1889,1
"Sharp, William",1855,1905,1
"Quintus, Smyrnaeus, active 4th century",no_birthdate,no_deathdate,1
"Alger, Horatio, Jr.",1832,1899,1
