author_name,,,,,grand_total
"Robinson, Nicholas, 1697?-1775.",,,,,1
"Rock, Dr. (Richard), 1708-1774.",,,,,1
"Rousseau, Jean-Jacques, 1712-1778.",,,,,1
Royal College of Surgeons of England.,,,,,1
"Rudd, Sayer, d. 1757.",,,,,1
"Rushworth, John, 1669-1736.",,,,,1
"Rutledge, Sarah, 1782-1855",,,,,1
"Rymer, James, fl. 1770-1833.",,,,,1
"Samber, Robert.",,,,,1
"Sarn, Peter van, d. 1766.",,,,,1
"Scott, Walter, Sir, 1771-1832",,,,,1
"Sharp, William, fl. 1766-1767.",,,,,1
"Shaw, Peter, 1694-1763.",,,,,1
"Shebbeare, John, 1709-1788.",,,,,1
"Shelley, Mary Wollstonecraft, 1797-1851",,,,,1
"Sheridan, Frances Chamberlaine, 1724-1766.",,,,,1
"Sheridan, Thomas, 1687-1738.",,,,,1
"Sherry, Richard, ca. 1506-ca. 1555",,,,,1
"Skrimshire, F. (Fenwick), 1774 or 5-1855.",,,,,1
"Sloane, Hans, Sir, 1660-1753.",,,,,1
"Smart, Christopher, 1722-1771.",,,,,1
"Smith, Adam, 1723-1790",,,,,1
"Smith, William, 1727-1803.",,,,,1
"Society of Apothecaries, London.",,,,,1
"Sparham, Legard.",,,,,1
"Spence, Joseph, 1699-1768.",,,,,1
"Stanyan, Temple, 1677?-1752.",,,,,1
"Stern, Philip.",,,,,1
"Stoker, Bram, 1847-1912",,,,,1
"Stowe, Harriet Beecher, 1811-1896",,,,,1
"Surgeons Hospital (Edinburgh, Scotland)",,,,,1
"Swift, Jonathan, 1667-1745",,,,,1
"Swift, Jonathan, 1667-1745.",,,,,1
"Taylor, Margaret, Mrs.",,,,,1
"Taylor, Thomas, 1738-1816.",,,,,1
"Tennyson, Alfred Tennyson, Baron, 1809-1892",,,,,1
"Thacher, Oxenbridge, 1719-1765",,,,,1
"Thelwall, John, 1764-1834.",,,,,1
"Theobald, Mr. (Lewis), 1688-1744.",,,,,1
"Thomas, Rowley.",,,,,1
"Thompson, John-Weeks.",,,,,1
"Thomson, Alexander, M.D.",,,,,1
"Thomson, James, fl. 1719-1762.",,,,,1
"Threlfal, William.",,,,,1
"Tickell, Mr. (Thomas), 1686-1740.",,,,,1
"Tissot, S. A. D. (Samuel Auguste David), 1728-1797.",,,,,1
"Told, Silas, 1711-1779.",,,,,1
"Trinder, William Martin.",,,,,1
"Turgot, Anne-Robert-Jacques, baron de l'Aulne, 1727-1781",,,,,1
"Turner, Daniel, 1667-1741.",,,,,1
