author_name,title_counts
"Grafton, Richard, d. 1572??",14
"Ruscelli, Girolamo, d. ca. 1565.?",13
"Securis, John.?",13
Church of Scotland.?,12
"Hemmingsen, Niels, 1513-1600.?",12
"Stow, John, 1525?-1605.?",12
"Fitzherbert, Anthony, Sir, 1470-1538.?",11
"Gascoigne, George, 1542?-1577.?",11
"Nowell, Alexander, 1507?-1602.?",11
"Bradford, John, 1510?-1555.?",10
England and Wales. Privy Council.?,10
"Guevara, Antonio de, Bp., d. 1545??",10
"Jewel, John, 1522-1571.?",10
"Cicero, Marcus Tullius.?",9
"Digges, Leonard, d. 1571??",9
"Jones, John, physician.?",9
"Rastell, William, 1508?-1565.?",9
"Ascham, Roger, 1515-1568.?",8
City of London (England). Court of Common Council.?,8
"Cooper, Thomas, 1517?-1594.?",8
"Crowley, Robert, 1518?-1588.?",8
"Elderton, William, d. 1592??",8
"Heywood, John, 1497?-1580??",8
"Knewstubs, John, 1544-1624.?",8
"Lily, William, 1468?-1522.?",8
"Record, Robert, 1510?-1558.?",8
"Tusser, Thomas, 1524?-1580.?",8
"VÇron, John, d. 1563.?",8
"Blundeville, Thomas, fl. 1561.?",7
"Bullein, William, d. 1576.?",7
Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker)?,7
"Elyot, Thomas, Sir, 1490?-1546.?",7
"Harding, Thomas, 1516-1572.?",7
"Lyly, John, 1554?-1606.?",7
"Moore, Philip, fl. 1564-1573.?",7
"Northbrooke, John.?",7
"Painter, William, 1540?-1594.?",7
"Rastell, John, 1532-1577.?",7
"Rogers, John, fl. 1560-1580.?",7
"Seneca, Lucius Annaeus, ca. 4 B.C.-65 A.D.?",7
"Wilson, Thomas, 1525?-1581.?",7
"Awdelay, John, fl. 1559-1577.?",6
B. G.?,6
"Baldwin, William, ca. 1518-1563??",6
City of London (England).?,6
"CondÇ, Louis, prince de, 1530-1569.?",6
"Curteys, Richard, 1532?-1582.?",6
"Erasmus, Desiderius, d. 1536.?",6
"Geveren, Sheltco Ö.?",6
"Hyperius, Andreas, 1511-1564.?",6
"Kingsmill, Andrew, 1538-1569.?",6
"Knell, Thomas.?",6
"Lupton, Thomas.?",6
"Nostradamus, 1503-1566.?",6
"Phayer, Thomas, 1510?-1560.?",6
"Phillips, John, fl. 1570-1591.?",6
Plutarch.?,6
"Rastell, John, d. 1536.?",6
"Twyne, Thomas, 1543-1613.?",6
Anonymous?,186
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,100
"Smith, Henry, 1550?-1591.?",70
"Greene, Robert, 1558?-1592.?",50
Church of England.?,45
"Sternhold, Thomas, d. 1549.?",39
"Dering, Edward, 1540?-1576.?",34
England and Wales.?,32
"Calvin, Jean, 1509-1564.?",29
"Lyly, John, 1554?-1606.?",27
"Gifford, George, 1547 or 8-1600.?",24
"Perkins, William, 1558-1602.?",21
"Nash, Thomas, 1567-1601.?",20
"Fenner, Dudley, 1558?-1587.?",16
"Parsons, Robert, 1546-1610.?",16
"Dent, Arthur, d. 1607.?",15
"Lambarde, William, 1536-1601.?",15
R. F. H. 16th cent.?,15
"Udall, John, 1560?-1592.?",15
"Broughton, Hugh, 1549-1612.?",14
"Bäze, ThÇodore de, 1519-1605.?",14
England and Wales. Privy Council.?,14
"Penry, John, 1559-1593.?",14
